date,date,open,high,low,close,volume
2020-09-14,2020-09-14,9233.974,9292.647,9227.124,9292.572,1724066410
2020-09-15,2020-09-15,9297.193,9396.376,9255.87,9386.464,1660125408
2020-09-16,2020-09-16,9382.391,9397.151,9295.023,9334.335,1618277735
2020-09-17,2020-09-17,9323.065,9357.952,9244.363,9296.443,1876801310
2020-09-18,2020-09-18,9316.846,9466.714,9292.877,9464.813,2434056467
2020-09-21,2020-09-21,9466.055,9472.081,9350.276,9354.624,1821693374
2020-09-22,2020-09-22,9284.315,9339.879,9185.561,9213.83,1683681868
2020-09-23,2020-09-23,9214.969,9263.115,9180.321,9234.345,1481302020
2020-09-24,2020-09-24,9188.353,9191.744,9049.578,9058.851,1918573188
2020-09-25,2020-09-25,9094.657,9111.857,9004.454,9032.289,1370887456
2020-09-28,2020-09-28,9058.896,9132.954,9058.896,9075.179,1246890564
2020-09-29,2020-09-29,9117.255,9133.399,9081.665,9084.236,1481702062
2020-09-30,2020-09-30,9121.438,9155.879,9023.724,9067.669,1439621047
2020-10-09,2020-10-09,9189.828,9204.402,9132.457,9175.4,1995249338
2020-10-12,2020-10-12,9196.972,9396.646,9196.972,9395.372,2376712383
2020-10-13,2020-10-13,9397.835,9448.576,9341.583,9437.02,1642380141
2020-10-14,2020-10-14,9433.606,9433.882,9352.535,9388.156,1938593640
2020-10-15,2020-10-15,9372.589,9418.993,9350.699,9364.096,1683685942
2020-10-16,2020-10-16,9357.039,9411.434,9299.078,9335.716,1593265847
2020-10-19,2020-10-19,9381.502,9459.214,9260.176,9279.379,1730353944
2020-10-20,2020-10-20,9272.53,9343.494,9257.305,9341.332,1549300224
2020-10-21,2020-10-21,9358.692,9377.763,9301.782,9372.195,1482194185
2020-10-22,2020-10-22,9356.702,9386.908,9259.795,9366.228,1451344519
2020-10-23,2020-10-23,9351.144,9413.134,9290.082,9292.502,1494775957
2020-10-26,2020-10-26,9241.068,9283.466,9153.449,9253.742,1422745976
2020-10-27,2020-10-27,9218.661,9270.513,9207.778,9233.854,1377484282
2020-10-28,2020-10-28,9257.824,9362.277,9248.277,9326.143,1750991545
2020-10-29,2020-10-29,9226.356,9499.485,9222.529,9430.582,1961439223
2020-10-30,2020-10-30,9487.141,9504.417,9309.703,9328.271,2256953769
2020-11-02,2020-11-02,9369.163,9495.138,9369.163,9456.144,2751328620
2020-11-03,2020-11-03,9506.735,9572.271,9472.823,9540.823,2252972883
2020-11-04,2020-11-04,9557.512,9734.697,9545.374,9728.296,1805956467
2020-11-05,2020-11-05,9816.247,9892.065,9795.72,9889.571,2288241755
